티라노사우루스,"강력한 턱에 60개의 이빨을 지니고, 각 이빨은 최대 20cm의 길이를 가졌으며, 무는 힘은 사자보다 15배 강합니다. 트리케라톱스와 에드몬토 사우루스 화석 뼈에 발견된 깨물린 흔적들은 티라노사우루스가 뼈를 꿰뚫 먹을 수 있다는 것을 보여줍니다. 화석화된 티라노사우루스의 대변 분석 결과는 먹이의 뼈를 소화하지 않고 그대로 삼켰다는 것을 알려줍니다. 후각이 좋기 때문에, 죽은 동물의 사체를 찾아 먹기도 하였습니다,  티라노사우루스 무리의 화석이 발견된 적이 없어, 혼자서 사냥을 했을 것으로 추측하고 있습니다."
벨로시랩터,"몸집은 작지만 빠른 속도와 민첩성으로 무리를 지어 몸집이 더 큰 먹잇감을 사냥하였습니다.  날카로운 발톱을 물론, 잘 발달된 뒷다리와 강하고 긴 꼬리를 가지고 있습니다.  또한 긴 꼬리를 길고 납작한 막대기가 지지하고 있어, 빠른 속도를 가지고 있습니다. 고비 사막에서 처음 발견되었으며, 머리가 길어 날카로운 이빨을 많이 가지고 있습니다. 커다란 앞발과 그 앞발에 있는 강력한 무기인 '낫' 형태의 두번째 발톱은 사냥감을 베어낼 수 있는 무기로 사용되었습니다."
이구아노돈,"이구아나의 이빨처럼 생긴 이빨을 가지고 있습니다. 비교적 작은 머리와 주둥이의 제일 끝에는 부리가 있습니다. 뒷발이 잘 발달되어 있고, 이족보행과 사족보행을 하였습니다. 육중한 꼬리는 이구아나돈이 걸을 때 균형을 잡아주는 역할을 하였습니다. 처음에는 코뿔이라고 생각되었던 것이 엄지손가락 끝에 달린 무기로 밝혀졌습니다. 이 삐죽 나온 무기는 포식자에 대항하는 방어용 무기로 사용되었을 것입니다."
안킬로사우루스,"외피에 골편(뼛조각)이 있는 가장 큰 공룡 중 하나로, 두개골부터 꼬리까지 골편이 이어져있습니다. 또한 몸체가 납작해 각도상 포식자가 온전한 힘으로 물기가 어려웠고, 꼬리에 곤봉이 있어 든든한 방어 능력이 있었습니다. 부리 모양의 주둥이로 작물 식물을 주로 섭취하였으며, 매우 큰 소화기관을 가지고 있었습니다."
파키케팔로사우루스,"머리가 꽤나 크며, 두개골에 최대 25cm 두께의 두꺼운 돔을 가지고 있습니다.  두개골의 두께가 이만큼 두꺼운 대신 그 반동으로 뇌의 크기는 달걀만 했을 것으로 추정된다. 시력이 좋고 양안시를 가졌습니다. 두개골에 대해 두 가지 시각이 있는데, 먼저, 목 뒤에 강력한 근육이 충격을 흡수하여, 두개골이 포식자들을 들이받는데 사용했다고 보는 시각이 있습니다. 이에 반하여, 두께에 비해 깨지기 쉽기 때문에, 짝짓기때 수컷이 암컷 앞에 과시하는 용도였다는 시각도 있습니다."
모사사우루스,"거대한 덩치, 강력한 하악골, 그리고 단단한 이빨을 가지고 있어 생태계에서 높은 지위를 가졌을 것입니다. 후각은 약했지만 뛰어난 시력을 가진 포식자였습니다. 추정되는 먹이는 암모나이트, 상어, 장경룡 그리고 다른 모사사우루스가 있습니다. 장경룡의 한 종류로 잘못 알고 있는 경우가 있는데, 실제로는 뱀과에 가까우며, 왕도마뱀과 뱀등과 유사한 점이 많습니다."
인시시보사우루스,"깃털과 부리를 가지고 있는 새를 많이 닮은 공룡입니다. 앞발과 꼬리는 깃털을 가지고 있었으며, 타조와 같이 긴 뒷다리를 가지고 있었습니다. 부리의 앞니가 발달했으며, 작은 머리와 꼬리를 가지고 있습니다. 몸체가 작아, 외부의 공격에 빠르게 돌, 나무, 숲으로 몸을 숨겨 생존했으리라 예상됩니다."
노도사우루스,"단단한 피부로 둘러쌓인 육중한 몸으로 마치 탱크처럼 걸어다녔습니다. 짧은 다리 네개와 다섯 개의 발가락을 가졌습니다. 안킬로사우르스와 먼 친척이기도 한 노도사우르스의 꼬리엔 곤봉이 없고 길고 뻣뻣했습니다. 좁고 뾰족한 주둥이와 작은 이빨로 부드러운 식물을 먹었답니다. 등과 옆구리에 단단한 피부와 가시로 덮여있어 육식 공룡으로부터 자신을 보호할 수 있었습니다."
오비랍토르,"짧은 돔 형태의 머리와 이빨이 없는 부리, 독특한 볏을 가지고 있습니다. 짧고 높은 주둥이에 크게 휜 턱과 넓은 부리, 그리고 턱근육을 가지고 있어 무는 힘이 매우 강했을 것으로 추정하며, 도마뱀을 먹이로 했습니다. 오비랍토르의 공룡알과 둥지는 공룡이 알을 낳는다는 것을 보여준 최초의 증거였으며, 알의 크기는 핫도그 빵 정도의 크기입니다. 알을 훔쳐먹다가 화석이 된 것으로 추정하여 알도둑이라는 뜻의 이름을 가지게 되었습니다."
스피노사우루스,"두개골이 악어의 두개골처럼 생겼고, 물고기를 먹이로 하였습니다. 주둥이가 악어와 비슷하게 길고 평평하며, 주둥이 안으로는 날카로운 이빨을 가지고 있습니다.  악어와 비슷한 생김새로 물고기를 주로 잡아먹거나 죽은 동물을 먹었을 것으로 추측하고 있습니다.
등 위로 최대 1.5m가 넘는 길이의 가시 같은 돛 모양의 돌기를 가지고 있습니다. 이 돌기로 몸집을 더 크고 무서워보이게 하고 체온 조절을 했을 뿐만 아니라, 가시들 사이 연결된 피부 색깔로 의사소통을 하였습니다. 북아프리카 지역에서 발견된 화석은 부채 모양의 돛을 가지고 있기도 합니다."
브라키오사우루스,"앞다리가 뒷다리보다 훨씬 길어, 팔도마뱀의 뜻인 이름이 지어졌습니다. 주로 먹었던 식물은 당시에 살았던 은행나무, 나무 고사리, 커다란 소철, 그리고 다양한 침엽수가 있습니다. 커다란 몸집을 잘 유지하기 위해, 하루에 200~400kg 정도나 되는 먹이를 먹었을 것입니다. 긴 목이 어떻게 움직이는지에 대해서는 논쟁 중이며, 아직까지는 정확하게 결론나지 않았습니다."
딜로포사우루스,"머리 위에 V자 모양의 볏을 가지고 있습니다. 볏은 동료에게 신호를 보내는 수단이나 짝을 유혹하는 수단으로 추정하고 있습니다. 같은 장소에서 두마리의 화석이 발견된 것으로 보아, 일부 기간 동안은 무리생활을 했습니다. 첫번째 앞 발가락은 마치 엄지 발가락처럼 움직여 먹이를 쥐거나 잡을 수 있었습니다. 턱에는 칼날 같은 이빨이 많으며, 이와 유사한 공룡이 중국 전기 쥐라기 지층에서 발견되었는데, 아직 그 공룡이 딜로포사우루스인지는 논쟁중입니다."
친타오사우루스,"머리 위에 유니콘의 뿔처럼 생긴 돌기를 가지고 있습니다. 이 돌기는 특이하게 무기로 사용되지않았습니다. 대신에 암컷을 유혹하거나 동료에게 신호를 보내는 도구로 추정하고 있습니다. 콧구멍에서부터 연결되는 관이 있는데, 이 것으로 소리를 냈을 것으로 추정하고 있습니다. 돌기에 비어있는 공간이 있어 무게를 최소화했습니다. 초식공룡으로서 빠른 다리 이와에는 포식자에게 대응할 수 있는 방어수단은 따로 없었으며, 무리생활을 했습니다."
기가노토사우루스,"티라노사우루스 렉스보다 더 키가 크고 길지만 날씬한 몸무게를 가지고 있었습니다. 이족보행을 하는 것은 같지만 티라노와 달리 3개의 손가락을 가지고 있었습니다. 주둥이에는 14~20cm의 단검 같은 이빨을 가지고 있었지만 무는 힘은 티라노사우루스의 3분의1 정도였습니다. 다리뼈의 비율로 보아 빠르게 달리진 못했을 것입니다. 무리를 이루어 사냥을 했을 것으로 추정하며, 남미에서 함께 서식했던 아르헨티노사우루스를 사냥했을 수도 있습니다."
사우로파가낙스,"알로사우르스와 비슷하게 생겼지만 사우로파가낙스가 더 큰 몸집을 가졌습니다. 사냥 방식에 대해서는 여러가지 학설이 있습니다.  몸집이 커서 작고 빠른 사냥감을 직접 사냥하기보다, 남은 음식을 처리하는 스캐빈저 였다고 하는 학설이 있습니다. 또 반대로 몸무게가 티라노사우르스보다 적기 때문에 알로사우르스처럼 직접 먹잇감을 사냥했다고 하는 학설도 있습니다. 화석이 많이 발견되지 않아서 행동에 대해 많은 것이 알려져 있지 않은 공룡입니다."
파라사우롤로푸스,"1.6에서 2미터의 긴 두개골 및 볏이 있고 오리 주둥이를 가지고 있습니다. 가장 진화한 초식공룡 중 하나로, 빠르게 이동 시에는 이족 보행을 했을 것으로 추측하고 있습니다. 볏은 속이 비워져 있으며, 코와 연결되어 있습니다.  트롬본 같은 소리를 내어 육식 공룡의 습격을 멀리 떨어져 있는 같은 무리에게 위험을 알려주거나, 종족간의 의사소통을 했을 것으로 추정하고 있습니다."
아르헨티노사우루스,"온전한 화석이 없어 정확한 크기는 추정하기 어렵지만, 지금까지 발견된 동물 중 가장 큰 육상 동물 중 하나로 꼽힙니다.  살아 있는 동안에는 성장을 계속 했으며, 긴 목으로 바닥을 쓸거나 높이 있는 풀을 섭취하였습니다. 무리 생활을 하고, 긴 꼬리는 긴 목이 움직이는 동안 무게 중심을 유지하는 역할을 하였습니다. 새끼 공룡이 성인이 될 때까지는 약 15년 정도 걸렸으며, 이 기간동안은 포식자에게 취약하였습니다."
오우라노사우루스,"주둥이에 오리같은 부리로 강가의 식물들을 먹는데 유리하였습니다. 등뼈 위에 커다란 돛모양의 척추 돌기로 체온을 조절하였습니다. 앞다리가 뒷다리에 비해 훨씬 짧은데, 낮은 키의 식물을 먹기 편하도록 몸을 앞으로 수그리는데 적합한 체형이었습니다. 5개의 앞발가락 중 3개는 체중을 지탱하는 역할을 담당하였습니다."
케찰코아틀루스,"긴 목, 가늘고 긴 부리 그리고 원숭이 크기의 날개를 가지고 있습니다. 날개를 가지고 있음에도 대부분의 시간은 지상에서 걸어 다니며 긴 부리로  물고기나 작은 동물을 사냥했습니다. 지금까지 살았던 조류 중에서 가장 큰 날개폭을 가진것으로 알려져 있습니다. 최대 날개폭이 12미터로 경비행기 만큼이나 큽니다."
스테고사우르스,"목부터 꼬리까지 한쌍으로 커다란 골판과 꼬리 끝에 커다란 골침을 가지고 있었습니다. 골판은 포식자로부터 방어해줄 뿐만 아니라, 몸체의 온도를 조절하는 기능을 가지고 있었습니다. 커다란 골반은 가장 큰 골판을 가지고 있었고, 꼬리와 뒷다리의 큰 근육을 지탱하는 역할을 했습니다. 뒷다리가 앞다리보다 발달하여 머리가 항상 지면쪽으로 향해있었습니다. 이러한 다리 구조로 빨리 뛸 수는 없었겠지만, 꼬리의 골침으로 포식자에게 대응했을 것으로 보입니다. 몸 크기에 비해 뇌 크기가 매우 작은 공룡으로 손꼽힙니다."
다센트루루스,"등에 있는 골편이 2열로 위치하고 있으며 꼬리 부분엔 가시가 2열로 위치하고 있습니다. 뒷다리 보다 비교적 짧은 앞다리를 가지고 있지만 다른 검룡류 보다는 긴 편에 속합니다. 배와 등판이 넓은 공룡입니다.앞다리와 뒷다리의 차이 때문에 빨리 뛰진 못했지만, 무시무시한 골창이 있어 육식공룡에 대항할 수 있었습니다."
디모르포돈,"왕부리과새중에서 가장 잘알려진 투칸 처럼 큰 입을 가졌습니다. 쥬라기에 살았던 익룡이지만 몸에 비해 날개가 짧아서 제대로 된 비행은 어려웠습니다. 또한 몸의 무게중심이 낮고 상대적으로 커다란 발톱을 가지고 있음을 고려하면 나무를 타는 능력이 탁월했을 것으로 보이며, 한때 두 다리로 걸어다녔을 것이라는 추정까지 나올 정도로 발달한 뒷다리와 골반뼈를 이용해 현생 고양이나 담비처럼 도약하듯 땅 위를 뛰어다니면서 사냥감을 쫓았을 가능성이 높다고 합니다."
프테라노돈,"긴 목과 부리에 비해 상대적으로 작은 몸통을 가지고 있으나 날개를 활짝 피면, 수컷은 5~6m, 암컷은 그보다 작은 4m 정도에 이릅니다. 이빨이 없는 부리를 가지고 있으며, 갈고리 모양의 앞발은 절벽에 매달리기 좋습니다. 이전에는 수면 위에서 활강하며, 물을 갈라 사냥하는 것으로 많이 묘사되었지만, 실제로는 다리가 매우 부실하는 등, 신체구조상 해당 가설이 불가능하다고 판명되었습니다. 대신에 낮은 고도에서 물에 뛰어드는 사냥 방식의 가설이 주목받고 있습니다."
람베오사우루스,"도끼모양의 볏을 가지고 있으며, 각 개체에 따라 조금씩 모양이 다른데, 이러한 변화는 성장하면서 나타나는 특징으로 확인되었습니다. 자랄수록 부리는 더 길고 좁아지며, 볏은 더 높아지고 정교해집니다. 대부분의 원시적인 초식공룡과 비교해, 턱에 여러 열의 치열이 발달하였고, 이빨 위에 다른 이빨이 포개져 있습니다. 이러한 특징으로 턱한쪽에만 최대 360개의 이빨이 존재하였고, 총 이빨 수 는 1400개가 넘었습니다."
알로사우루스,"머리 위쪽에 특이한 볏이 있는데, 크고 뾰족한 것, 작고 둥근 것 두가지로 나누어집니다. 15cm나 되는 뾰족하고 예리한 발톱으로 최고의 포식자 중 하나였습니다. 뒷다리에 비해 앞다리가 짧지만 발달된 꼬리로 중심을 잡았을 것입니다. 숲속에서 숨어있다가 느린 용각류나 조각류 공룡을 주로 사냥하였습니다."
카스모사우루스,"발견된 공룡 중에 가장 큰 머리를 가진 공룡이에요. 그 큰 몸집을 가진 공룡이라서, 여러 마리가 모여서 같이 살았을 가능성이 있어요. 머리에는 작은 코뿔리 하나와 눈 위에 중간 크기의 뿔이 하나씩 있어요. 그리고 종류에 따라서 뿔과 프릴의 모양이 조금씩 다를 수 있어요. 50cm 정도 큰 프릴은 방어할 용도보다는 자랑할 용도로 사용했을 거예요. 프릴 가장자리에는 작은 뿔들이 달려있고, 큰 구멍들이 있어요. 현재 우리가 아는 코뿔소와 비슷한 모습이지만, 훨씬 큰 생물이에요."
엘라스모사우루스,"몸길이의 70%를 차지하는 긴 목이 특징으로, 목뼈의 개수는 무려 72개, 목 길이만 7m 이상입니다. 척추 동물 중에서는 이만큼 많은 목뼈를 가진 동물이 없는데, 각각의 뼈마디가 꺾이는 각도가 매우 제한적이며, 위아래로도 잘 꺾이지 않았을 것입니다. 실제로는 발견된 화석이 거의 없으며, 유사한 공룡인 스틱소사우루스를 참고하여 모습이 그려져있다. 목구멍에 들어갈만한 적당한 크기의 어류나 두족류, 작은 해양 파충류 따위를 주로 잡아먹었을 것으로 추정됩니다."
콤프소그나투스,"가장 작은 공룡 중 하나로 머리에서 꼬리 끝까지의 길이가 약 1m이며, 뼈는 작고 섬세했습니다. 조용한 호숫가에서 살아, 온전한 화석이 발견되고 있습니다. 가늘고 긴 뒷다리와 뼈속이 비어 유연한 꼬리를 가지고 있어 빠르게 뛸 수 있습니다. 소화기관에서 소화가 덜 된 도마뱀이 발견된 점으로 보아, 도마뱀을 먹이로 추정하고 있습니다.
"
켄트로사우루스,"한 쌍의 골창을 목부터 꼬리 끝까지 이어서 가지고 있습니다. 특히 긴 어깨의 골창과, 휘두를 수 있는 꼬리의 골창으로 포식자에 대항했을 것입니다. 사족 보행을 했지만, 앞다리와 뒷다리의 차이가 커서 머리를 밑으로 향한 채 이동하였습니다. 이러한 특징은, 고사리와 같이 키 작은 식물을 주식으로 삼았다는 것을 암시합니다.
"
트리케라톱스,"3개의 뿔, 앵무새 같은 부리, 그리고 목을 보호할 수 있는 프릴을 가지고 있습니다. 뿔은 포식자로부터 정면으로 방어하기 위한 수단으로 사용되었습니다, 실제로 티라노사우루스의 이빨 자국에 의한 상처 치유 흔적이 있는 뿔 화석이 1997년 수집된 적이 있습니다. 티라노사우루스와 만났지만, 뿔로 방어하고 살아남았으리라 추측해볼 수 있습니다. 뿔은 또한 트리케라톱스 수컷이 서로 경쟁을 하는데 있어서도 사용되었습니다.
"
